Cluster_ID,Cluster_Name,Source_Column
-1,Isolated / Unclustered,Primary_Diagnosis_ICD_10_C_M_Code_Cluster
0,"Circulatory: I10., M62.81",Primary_Diagnosis_ICD_10_C_M_Code_Cluster
1,Factors Influencing Health Status: Z99.81,Primary_Diagnosis_ICD_10_C_M_Code_Cluster
2,Genitourinary: N18.5,Primary_Diagnosis_ICD_10_C_M_Code_Cluster
3,Symptoms/Signs: R26.9,Primary_Diagnosis_ICD_10_C_M_Code_Cluster
4,"Factors Influencing Health Status: Z48.812, I21.4",Primary_Diagnosis_ICD_10_C_M_Code_Cluster
5,Factors Influencing Health Status: Z79.891,Other_Diagnosis_Code_1_ICD_10_C_M_Cluster
6,Genitourinary: N18.2,Primary_Diagnosis_ICD_10_C_M_Code_Cluster
7,"Factors Influencing Health Status: Z96.641, M16.11",Primary_Diagnosis_ICD_10_C_M_Code_Cluster
8,"Mental/Behavioral: F32.9, F41.9",Primary_Diagnosis_ICD_10_C_M_Code_Cluster
9,Endocrine/Metabolic: E11.65,Primary_Diagnosis_ICD_10_C_M_Code_Cluster
10,Symptoms/Signs: R26.89,Primary_Diagnosis_ICD_10_C_M_Code_Cluster
11,"Respiratory: J18.9, J44.0",Primary_Diagnosis_ICD_10_C_M_Code_Cluster
12,"Factors Influencing Health Status: Z96.642, M16.12",Primary_Diagnosis_ICD_10_C_M_Code_Cluster
13,Symptoms/Signs: R26.2,Primary_Diagnosis_ICD_10_C_M_Code_Cluster
14,Circulatory: I50.22,Primary_Diagnosis_ICD_10_C_M_Code_Cluster
15,"Endocrine/Metabolic: E78.5, E03.9",Primary_Diagnosis_ICD_10_C_M_Code_Cluster
16,Musculoskeletal: M15.0,Primary_Diagnosis_ICD_10_C_M_Code_Cluster
17,Respiratory: J20.9,Primary_Diagnosis_ICD_10_C_M_Code_Cluster
18,Factors Influencing Health Status: Z79.84,Primary_Diagnosis_ICD_10_C_M_Code_Cluster
19,Factors Influencing Health Status: Z91.81,Primary_Diagnosis_ICD_10_C_M_Code_Cluster
20,Circulatory: I50.30,Primary_Diagnosis_ICD_10_C_M_Code_Cluster
21,Mental/Behavioral: F03.90,Primary_Diagnosis_ICD_10_C_M_Code_Cluster
22,"Musculoskeletal: M25.561, M25.562",Primary_Diagnosis_ICD_10_C_M_Code_Cluster
23,Circulatory: I50.32,Primary_Diagnosis_ICD_10_C_M_Code_Cluster
24,"Factors Influencing Health Status: Z79.01, Z51.81",Primary_Diagnosis_ICD_10_C_M_Code_Cluster
25,Factors Influencing Health Status: Z79.4,Primary_Diagnosis_ICD_10_C_M_Code_Cluster
26,"Factors Influencing Health Status: Z45.2, Z79.2",Primary_Diagnosis_ICD_10_C_M_Code_Cluster
27,"Factors Influencing Health Status: Z96.652, M17.12",Primary_Diagnosis_ICD_10_C_M_Code_Cluster
28,Factors Influencing Health Status: Z79.82,Primary_Diagnosis_ICD_10_C_M_Code_Cluster
29,"Factors Influencing Health Status: Z96.651, M17.11",Primary_Diagnosis_ICD_10_C_M_Code_Cluster
30,Digestive: K21.9,Primary_Diagnosis_ICD_10_C_M_Code_Cluster
